"y","x1","x2"
25.2656206977674,3.6,3.1
63.512825952867,8.1,9.7
25.4417098866073,4.7,6.4
79.2863881184642,9,5.6
86.2713201041623,9.5,4.6
3.01550621076884,1.4,9
36.8347943242995,5.8,4.3
80.558765465081,9.1,3.6
45.6018149346734,6,2.5
33.2999437498291,5.1,2.5
89.9104904728552,9.7,5.3
33.0953748591982,5.1,3.3
56.9929517569707,7.1,2.9
38.8198723381104,6.2,7.1
11.4029856992159,1.9,1.4
81.3993938648064,9.1,7.3
16.3096735661894,3.2,4.2
6.50586806012025,1.3,4.7
15.1954537622334,3.9,8.4
81.4585685553644,9.6,9.3
79.152053041404,9,3.5
51.4679716343331,7.3,9.7
48.4116962778594,6.8,7.6
94.2151767076712,10,7.2
52.8606854058095,6.9,1.4
56.8274998747692,7.4,4.5
37.0388070726399,5.9,5.3
41.733563676852,6.4,6
18.4373009979538,3.6,7.3
5.20081484279291,2.3,9.3
92.2825879309849,9.7,6.6
81.9313608120683,9.2,4.8
53.2010776532584,7.2,5.9
69.0149445905209,8.2,1.5
7.90322262047346,1.2,3.3
30.5379677353895,5.3,4.6
64.7621492232545,7.9,2.7
11.9659648098489,2.9,8.5
23.7006086883228,3.8,2.3
10.9249270258905,3.1,8.3
8.594756058292,2.2,5.9
24.3676025633143,4.7,7
32.8641213396927,4.7,2.5
20.1173927586685,4.3,6.7
12.3738968112396,2.3,3.8
12.3767236433579,2.2,7.5
15.9860502293424,3.1,4.6
24.3123185923572,5.2,9.8
11.5184611294519,3.4,9.8
74.1229199578098,8.8,7.6
8.91679425666045,1.4,3.3
30.8762472729004,5,3
65.0041655317431,8.2,6.3
12.4089932942784,2.1,3.4
43.2650175422917,6.1,5.8
10.7948697757222,2.8,8.1
15.289598992303,2.1,2.5
63.1335082313011,7.8,4.6
79.9207202089877,9.1,5.2
18.0221959942188,4.4,8.8
45.757765364895,7,9.4
4.41225909372305,1.8,9
22.8823088655231,4.4,7.1
15.6483973553336,3.4,9.6
73.8341579476622,8.4,5.6
31.8951621179675,5,6.2
69.1456980713421,8.3,4
65.7989452088847,8.3,4.1
70.1144402718565,8.2,1.1
29.6784144461466,5,5.5
59.2620260081349,7.8,8.9
53.5370559369685,6.7,1
60.9766188588329,7.4,1.6
6.60945130040107,1,2.4
31.4712860912667,5.3,8
11.7068855671456,3,7.6
20.4376054003225,4.4,9.8
45.2491023543475,6.5,5.2
27.568333529941,4.2,1.6
8.34934996565228,2,6.9
10.1570498048287,3.2,7.9
55.4729919295469,7,2.2
29.4040531366994,4.8,4.6
67.0566967494436,8.1,3
13.5242890220934,1.9,1.5
29.7760772907369,4.9,4.6
97.250038937122,9.9,1.5
85.629692331955,9.1,3
81.9618992421331,9,1.4
10.8361307677693,2.5,7
14.2647677461382,2.1,3.7
55.1963620467538,6.9,1.9
28.2385262207607,4.1,1.6
44.8330639978809,6.9,9
22.2729654605857,3.9,7.8
10.2654017418604,2.7,8.4
64.4217036894138,8.1,9.9
9.79019462793858,1.8,1.9
34.9739671727085,5.2,1.9
34.9878291419384,5.6,8.2
39.6375156255544,6.4,8.1
24.2946220635645,4,1
28.8509225927862,5.4,8
83.6229734413225,9.6,7.6
30.1976809336392,5.3,6.7
80.710358345918,9.1,5.3
82.0635790041586,9.3,2.4
49.7239608667446,6.5,1
29.7453500928331,4.7,5.1
15.2071480364809,2.3,5.4
89.8023519844012,9.5,4.5
20.9655495275919,3.7,5.2
2.44653920177134,1.5,7.4
90.6249865839864,9.6,1.5
57.5959070868348,7.5,4.2
9.17904780551379,2.2,8.3
34.9366573319925,5.9,8.6
87.7107027438797,9.6,3.1
47.2208714161882,6.3,4.2
24.6507825835919,4.6,8.7
45.5668605449821,6.8,8.7
24.9042172206516,3.9,3.6
20.3744514255301,3.8,2.3
13.5496405955796,2.9,7.4
26.1461752473732,4.3,1.9
98.3754910437014,9.9,1.3
6.88635609067985,2.4,10
14.3579214260629,1.8,1.3
14.7430352301188,2.2,4
49.3865801806338,7.2,9.3
46.8831172739042,6.6,6.6
79.371131929704,9.1,3.6
48.284791119128,7.1,7.7
59.6704354227764,7.7,8.5
38.6467759460479,5.7,3.8
46.6955543591325,7,5.4
64.8199250958352,8.4,7.3
63.3864379688218,8.1,6.8
93.239558808669,9.9,6.8
24.1042334885696,4.9,9.8
21.9003749440413,3.8,4.7
32.2900107555757,4.7,2
9.44210965772588,1,5.7
15.1200334665499,2.6,3
72.2640361876382,8.6,5.4
12.9815252817155,3.1,4.3
11.0866551881757,3.1,9.9
8.00429988420887,1.6,4.5
16.4439808343918,3.2,3
56.8481875379049,7.6,6.6
79.0818863454873,8.7,2.2
25.9145030226228,5.5,9.8
24.2454414255891,4.5,5.6
19.2252745671654,3.2,2.4
6.81358485989009,2,6.6
21.4678058849984,4.5,9.9
40.7748598412315,6.2,7
14.761927681448,2.9,4.8
26.1682036124799,5,3.9
16.1709162917333,2.9,8.6
36.9894014850636,5.5,2.3
26.9143865631753,4.2,2.7
46.4355329820731,6.9,9.1
28.1373464696367,4.4,3.8
25.6473188927482,4.2,4.3
34.192413657543,5.8,8.1
63.188335544417,7.7,2.7
17.2091823377522,3,1.1
29.3858460217986,4.7,4.7
16.4259233222313,3.4,5.3
52.6455467075764,6.7,4.8
10.6059022086236,2.6,4.1
71.024025514068,8.8,8.8
61.6827597255185,7.7,5.1
51.4202650937573,7,5.8
40.56903792297,6.6,9.7
19.098438515585,4.3,8
40.1009514094214,5.8,2.9
78.4393851736662,8.9,3.8
33.5714375254719,6.2,9.8
71.5371021342677,8.6,6.3
17.8324606313849,3.8,7.9
57.2574527939637,7.4,4.3
12.6379659147946,3.4,7.9
44.3202665566053,6.4,5.8
31.2291402739185,5.3,9.3
20.9604728063596,3.4,2.6
40.0968230592513,6.1,3.5
85.8207090606162,9.3,1.8
84.7042072391072,9.2,2.9
11.5539087373635,3.4,9.8
18.1527073299694,3.9,3.6
92.4765016400564,9.9,7.6
41.689044776751,6.6,8.1
88.6528794584634,9.5,1.9
36.7398012180091,5.2,3.1
27.4237101407892,4.7,3.4
54.7794630803786,6.9,1.9
12.0106342423624,2.3,2
36.242915193852,6.2,10
