y,x
22.20125924,9.085536708
50.99503877,12.49477817
54.44245548,22.87051544
54.00836401,13.41307724
103.5853886,19.86462065
63.73947584,17.46629097
80.3792974,15.30336112
51.17109404,17.78342643
51.70288385,11.3447997
33.22671431,10.45249979
68.57214622,22.36844109
76.71045355,15.1481623
42.4014571,12.47356797
73.87932972,20.16279617
30.93861198,11.70703508
23.59120807,4.645391956
41.97638187,11.41589543
35.57561329,6.498253236
51.54553738,15.36251282
29.47246499,10.43111155
21.54588283,7.449225059
33.42930211,10.20705693
43.15295703,13.65322994
63.72836611,18.92939062
75.38346858,18.42535426
71.76928618,21.45223549
33.61351065,12.33038776
93.8311273,22.9282656
40.09273258,7.278392857
31.2662587,7.295251169
29.30005663,6.564484511
30.77900582,8.165969939
59.88847949,19.11071627
25.3116488,6.296725745
124.9373728,22.54816518
6.980521276,3.714495433
85.24383526,19.51010443
8.257045564,3.822917586
8.591643779,4.061516413
31.32064139,13.26982079
35.03405669,8.652530221
41.02566976,11.67135144
52.08918761,12.96829948
10.52344069,3.237653279
30.51093702,7.989691633
22.39922214,6.775387523
17.98283829,5.938890462
34.98865537,11.23722248
26.00250777,8.869366457
21.73041544,8.229834742
34.3609936,17.21887947
48.72377301,16.82221613
33.38965357,14.99606388
42.5952795,10.5896027
19.84975963,6.671553275
53.4755872,15.82260661
73.41788115,18.90282781
55.67627328,12.8133829
10.48472361,4.18693789
13.04931096,5.926840419
60.82466327,17.09418808
17.39901097,9.756821903
10.27742483,5.046716022
50.6438978,16.24012614
21.96825274,17.78165296
104.8346079,20.97462808
37.72093572,8.92123175
70.10521386,13.49391824
20.84412048,6.078978932
77.13701637,16.3752251
19.54745373,7.191587996
64.80609925,18.97962332
42.38671508,13.45315593
6.677810352,4.714176927
57.58490119,19.57995152
26.70758683,9.811788958
10.87946664,5.598424954
22.89364416,5.094455711
41.97768127,11.40566979
24.6823538,8.393345468
33.36956335,11.19260781
19.08100934,7.687292012
26.56706696,17.2364462
18.72012873,6.352863742
91.9415344,18.45989336
77.30560557,18.28339603
69.2500274,22.44914903
42.69943085,10.04380194
47.26818028,19.86165086
20.34638181,3.902018659
125.8015303,22.98859469
26.03167627,7.353116015
43.50252931,11.71504299
8.679753848,4.179458587
74.00309516,15.61435969
69.99287043,20.60140704
17.857722,5.385284188
17.72909852,9.831354611
64.94072679,20.18789632
43.37992664,15.34042244
