y,x1,x2,x3
-0.511357795,0.840207632,76.63376736,14.62996138
26.97218455,4.037581995,68.21322271,17.20980207
14.3119414,1.924711757,20.91307922,6.854205285
8.649869039,1.638671586,71.1943761,9.858443579
19.75125519,3.010503374,60.52981855,17.0770656
16.253274,3.02197027,34.0559205,7.745060008
18.69263966,0.623167221,4.117032094,14.53015057
10.06989415,1.473004621,40.17525094,13.682434
22.99088489,2.888049595,7.905964553,16.91065921
18.68192348,3.154896372,31.25526505,0.656026592
16.98826323,2.560079488,32.50759358,14.56923488
21.68723072,2.525119571,7.836645725,9.532443038
23.06842466,2.670176767,15.02197706,11.63783961
18.86847569,2.786247178,15.24250696,4.14100945
18.43930704,4.339597438,91.34236011,0.577320135
22.06314418,4.148543467,70.22528991,19.46522275
2.099805467,0.557245767,82.05483221,4.948704839
8.001149313,3.518441794,66.55630907,2.393553774
28.79285469,4.487441322,21.61851139,13.69723993
15.75157515,1.398662769,46.30624028,14.68592319
3.467913254,1.141009406,71.68530484,6.433421168
-1.938558646,0.076649463,82.21880475,16.20936246
0.273462803,0.644907793,82.07419268,7.796756816
10.66588877,0.466909643,19.99445518,11.9216353
3.225036598,1.184425037,60.11354907,6.79101049
25.41648286,3.955737047,42.98360019,14.36108041
23.02882674,2.998657828,63.75683318,18.94502498
11.20460467,4.550738555,42.00240052,1.628627195
2.483427148,2.80212277,87.98700389,4.708752446
14.98837182,3.778523846,32.07280305,7.250946746
12.05928548,1.895859456,31.53128438,6.504816646
7.008746114,1.866404884,49.35720845,8.330531968
10.83010897,0.851453214,33.76702957,10.11375188
18.90992132,2.266536618,22.27859944,12.34672844
1.851084981,1.292069802,83.02396687,11.70828772
11.64173068,1.681329762,53.84967839,17.98461347
22.52521547,4.447915173,9.869789495,11.49805447
12.79294878,1.009731494,10.95901425,6.265238049
19.57228708,2.895930214,57.3855031,9.600040508
6.466981148,1.038160149,53.7985163,11.91242744
0.060745994,1.407343962,48.75049784,1.348049608
21.94555242,3.93140602,31.92301362,14.6974672
6.625390227,0.865096747,67.97848644,12.87005789
9.249931698,2.853737591,86.15753544,1.347096986
14.82591333,2.096414816,84.7129043,13.94944378
6.070387906,1.338110826,26.72736195,6.985209244
0.91239765,0.239047209,60.54034051,6.281478
1.250291907,0.51746527,83.0954046,19.64633775
6.416421535,1.570157278,59.16634644,15.00232501
23.80226491,4.003205311,19.88396829,14.09714382
-2.596791452,1.146623477,77.26469976,4.457923081
10.50525192,1.064992204,12.51252382,5.104502621
18.98293701,4.385504529,88.82109236,13.00557983
21.08930877,4.966109816,30.9346762,12.34531129
14.01660696,4.221235099,64.92729594,5.066881645
28.13334378,4.552182746,26.23943861,10.37582563
4.730240141,2.356348662,16.15633909,0.846457197
18.69493546,1.12209204,10.55069633,9.417067803
7.101247669,0.639073283,43.76803925,17.52449333
21.68131249,1.398417562,3.852074617,18.99639224
12.52726131,4.080530301,95.86769743,15.12008306
6.320218854,0.288064964,50.77421346,18.52739828
23.65573783,4.014146248,36.23072801,11.13833306
-2.426934153,0.521939177,87.94782809,12.38694869
19.46075325,3.833030093,75.44750916,18.64514001
4.102976017,1.524052832,75.95092533,13.42285718
12.01183856,3.846437105,88.96004704,1.026471574
18.43450799,2.703278632,18.03501805,3.528764499
10.28667088,1.811852661,78.64885204,11.01729184
2.572587759,0.462784581,54.73746997,4.022206492
12.95197399,3.798776276,49.74458294,0.162316957
32.0376239,3.804099734,10.87809745,14.45451149
20.49864519,4.516304226,58.67336395,18.51240839
20.57230254,4.831413931,89.73225609,18.51162275
11.07089639,2.576283114,18.7683838,3.794592703
19.16828704,2.747403369,52.99728038,7.091667498
-0.574945481,0.818599485,66.99446361,1.914035422
-1.295346505,0.822984768,78.29262733,1.525451108
20.09442171,3.931663887,18.77037717,3.803785606
16.16326212,3.755567098,56.64008595,5.297446097
12.33713983,3.921073521,19.66027967,2.442698656
10.4585715,3.271774573,30.74095109,0.158248655
9.12689943,1.890521987,16.10884443,0.47440344
4.25898177,0.042834837,9.831946017,7.868745024
16.93589857,4.776647768,25.75627048,3.222013768
18.6645831,4.193080739,34.16119921,7.386842361
-1.942081344,1.067124688,85.40463306,8.794356957
24.5866388,2.473567781,12.39301171,19.94198461
23.2993269,3.181221281,34.79437002,16.38498001
24.51222769,4.605456966,32.421238,13.66646445
5.249693306,0.058720204,47.18634642,13.16483894
6.867559851,1.337014586,85.11967601,12.00807446
9.798954097,2.177860509,32.2022445,2.141685449
23.50469009,4.147335474,55.81573322,12.76158597
18.61593969,4.354720192,70.5714596,5.204224079
13.13567254,1.255344797,39.07373955,11.6376237
5.7135263,1.621791242,82.42373916,19.46423344
5.094077501,1.53118906,90.65314233,16.79045807
11.83966464,0.921410176,41.71170429,13.18340301
25.46465571,3.399886998,27.91320086,8.045182689
